test_file,m,n,algorithm,Cmax,runtime_sec
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case8.txt,4,80,IP,830.9999999167997,61.39
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case8.txt,4,80,GA,829,0.28
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case8.txt,4,90,IP,876.0,61.91
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case8.txt,4,90,GA,879,0.32
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case9.txt,4,90,IP,907.999999029863,61.39
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case9.txt,4,90,GA,914,0.32
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case9.txt,4,80,IP,795.0,61.29
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case9.txt,4,80,GA,801,0.28
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case10.txt,4,70,IP,737.9999999260999,60.8
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case10.txt,4,70,GA,746,0.25
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case6.txt,4,50,IP,539.9999994811462,60.44
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case6.txt,4,50,GA,556,0.18
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case7.txt,4,60,IP,612.9999999385999,60.57
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case7.txt,4,60,GA,620,0.21
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case7.txt,4,70,IP,717.9999999280828,60.86
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case7.txt,4,70,GA,719,0.26
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case7.txt,4,100,IP,1086.0,61.63
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case7.txt,4,100,GA,1039,0.35
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case6.txt,4,100,IP,998.0,61.64
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case6.txt,4,100,GA,1001,0.34
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case6.txt,4,70,IP,737.9999999260972,60.83
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case6.txt,4,70,GA,739,0.25
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case10.txt,4,80,IP,809.0,61.07
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case10.txt,4,80,GA,811,0.29
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case6.txt,4,60,IP,634.9999998728013,60.57
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case6.txt,4,60,GA,652,0.22
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case7.txt,4,50,IP,505.99999994929965,60.46
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case7.txt,4,50,GA,508,0.18
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case5.txt,4,50,IP,514.9999972654322,60.45
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case5.txt,4,50,GA,531,0.18
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case4.txt,4,60,IP,575.9999999422998,60.58
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case4.txt,4,60,GA,584,0.21
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case4.txt,4,70,IP,683.9999998630052,60.78
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case4.txt,4,70,GA,698,0.25
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case4.txt,4,100,IP,1030.0,61.64
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case4.txt,4,100,GA,1048,0.35
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case5.txt,4,100,IP,1052.0,61.6
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case5.txt,4,100,GA,1015,0.34
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case5.txt,4,70,IP,726.0,60.77
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case5.txt,4,70,GA,731,0.25
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case5.txt,4,60,IP,594.9999990057461,60.58
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case5.txt,4,60,GA,598,0.22
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case4.txt,4,50,IP,524.9999999473998,60.45
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case4.txt,4,50,GA,533,0.19
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,4,60,IP,590.9999999407996,60.59
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,4,60,GA,603,0.21
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case1.txt,4,70,IP,702.9999999295975,60.84
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case1.txt,4,70,GA,699,0.25
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case1.txt,4,100,IP,972.0,61.66
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case1.txt,4,100,GA,975,0.36
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,4,100,IP,991.0,61.64
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,4,100,GA,988,0.35
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case1.txt,4,50,IP,502.9999998992017,60.44
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case1.txt,4,50,GA,511,0.18
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,4,50,IP,483.9999999514931,60.47
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,4,50,GA,490,0.19
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,4,60,IP,613.9999999384999,60.59
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,4,60,GA,617,0.21
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,4,70,IP,714.9999999283996,60.79
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,4,70,GA,723,0.25
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case2.txt,4,100,IP,1009.9999998988981,61.65
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case2.txt,4,100,GA,1022,0.34
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case3.txt,4,100,IP,1037.9999998960998,61.64
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case3.txt,4,100,GA,1033,0.35
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,4,70,IP,728.9999999269994,60.83
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,4,70,GA,736,0.25
