test_file,m,n,algorithm,Cmax,runtime_sec
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case28.txt,3,10,IP,36.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case28.txt,3,10,GA,36,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case14.txt,3,10,IP,28.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case14.txt,3,10,GA,28,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case3.txt,3,10,IP,29.0,0.06
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case3.txt,3,10,GA,29,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case126.txt,3,10,IP,18.0,0.19
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case126.txt,3,10,GA,18,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case132.txt,3,10,IP,19.0,5.68
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case132.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case133.txt,3,10,IP,28.0,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case133.txt,3,10,GA,28,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case127.txt,3,10,IP,25.0,0.13
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case127.txt,3,10,GA,25,0.08
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case2.txt,3,10,IP,29.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case2.txt,3,10,GA,29,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case15.txt,3,10,IP,19.0,0.3
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case15.txt,3,10,GA,20,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case29.txt,3,10,IP,18.99999799999773,7.59
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case29.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case17.txt,3,10,IP,21.0,0.07
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case17.txt,3,10,GA,21,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case131.txt,3,10,IP,24.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case131.txt,3,10,GA,24,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case125.txt,3,10,IP,18.0,2.83
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case125.txt,3,10,GA,18,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case119.txt,3,10,IP,20.0,1.34
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case119.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case118.txt,3,10,IP,27.0,0.08
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case118.txt,3,10,GA,27,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case124.txt,3,10,IP,23.999994999994982,4.61
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case124.txt,3,10,GA,24,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case130.txt,3,10,IP,28.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case130.txt,3,10,GA,28,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case1.txt,3,10,IP,22.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case1.txt,3,10,GA,22,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case16.txt,3,10,IP,23.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case16.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case12.txt,3,10,IP,18.0,31.3
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case12.txt,3,10,GA,18,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case5.txt,3,10,IP,21.999999997699522,0.59
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case5.txt,3,10,GA,22,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case108.txt,3,10,IP,19.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case108.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case134.txt,3,10,IP,23.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case134.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case120.txt,3,10,IP,26.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case120.txt,3,10,GA,26,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case121.txt,3,10,IP,29.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case121.txt,3,10,GA,29,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case135.txt,3,10,IP,29.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case135.txt,3,10,GA,29,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case109.txt,3,10,IP,22.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case109.txt,3,10,GA,22,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case4.txt,3,10,IP,24.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case4.txt,3,10,GA,24,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case13.txt,3,10,IP,23.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case13.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case11.txt,3,10,IP,18.99989480400661,24.66
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case11.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case39.txt,3,10,IP,18.0,1.5
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case39.txt,3,10,GA,18,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case6.txt,3,10,IP,29.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case6.txt,3,10,GA,29,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case123.txt,3,10,IP,19.99997000854923,44.42
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case123.txt,3,10,GA,20,0.05
